method,emotion,precision,recall,f1,support,seed
lexicon,love,0.6152416356877324,0.6910229645093946,0.6509341199606686,479,42
lexicon,gratitude,0.8607954545454546,0.45156482861400893,0.592375366568915,671,42
lexicon,amusement,0.559322033898305,0.5489833641404805,0.5541044776119403,541,42
lexicon,remorse,0.4504950495049505,0.6946564885496184,0.5465465465465466,131,42
lexicon,joy,0.4656084656084656,0.38177874186550975,0.4195470798569726,461,42
lexicon,neutral,0.26336805555555554,0.7169187145557656,0.38522092432706956,2116,42
lexicon,sadness,0.5174129353233831,0.2694300518134715,0.3543441226575809,386,42
lexicon,surprise,0.44886363636363635,0.23723723723723725,0.3104125736738703,333,42
lexicon,fear,0.5522388059701493,0.20903954802259886,0.30327868852459017,177,42
lexicon,disgust,0.5048543689320388,0.17869415807560138,0.2639593908629442,291,42
lexicon,pride,0.3111111111111111,0.18421052631578946,0.23140495867768596,76,42
lexicon,nervousness,0.35294117647058826,0.17142857142857143,0.23076923076923078,105,42
lexicon,desire,0.12846347607052896,0.5543478260869565,0.2085889570552147,184,42
lexicon,approval,0.27167630057803466,0.14114114114114115,0.1857707509881423,999,42
lexicon,excitement,0.2765957446808511,0.12580645161290321,0.1729490022172949,310,42
lexicon,confusion,0.2177121771217712,0.14182692307692307,0.1717612809315866,416,42
lexicon,curiosity,0.2626728110599078,0.10326086956521739,0.1482444733420026,552,42
lexicon,optimism,0.2,0.09691629955947137,0.13056379821958458,454,42
lexicon,anger,0.13227513227513227,0.11441647597254005,0.12269938650306748,437,42
lexicon,embarrassment,0.36,0.07317073170731707,0.12162162162162163,123,42
lexicon,disapproval,0.18506493506493507,0.09018987341772151,0.12127659574468085,632,42
lexicon,caring,0.10071942446043165,0.13725490196078433,0.11618257261410789,306,42
lexicon,grief,0.11538461538461539,0.075,0.09090909090909091,40,42
lexicon,disappointment,0.3953488372093023,0.04106280193236715,0.07439824945295405,414,42
lexicon,realization,0.3333333333333333,0.030303030303030304,0.05555555555555555,462,42
lexicon,relief,0.057971014492753624,0.05194805194805195,0.0547945205479452,77,42
lexicon,admiration,0.41304347826086957,0.018518518518518517,0.03544776119402985,1026,42
lexicon,annoyance,0.38461538461538464,0.007462686567164179,0.014641288433382138,670,42
tfidf_logreg,gratitude,0.7264021887824897,0.7913561847988078,0.7574893009985735,671,42
tfidf_logreg,love,0.5461200585651538,0.778705636743215,0.6419965576592083,479,42
tfidf_logreg,amusement,0.5333333333333333,0.7097966728280961,0.6090404440919904,541,42
tfidf_logreg,admiration,0.4721030042918455,0.6432748538011696,0.5445544554455446,1026,42
tfidf_logreg,remorse,0.4405940594059406,0.6793893129770993,0.5345345345345346,131,42
tfidf_logreg,fear,0.3952380952380952,0.4689265536723164,0.4289405684754522,177,42
tfidf_logreg,sadness,0.36398467432950193,0.49222797927461137,0.4185022026431718,386,42
tfidf_logreg,neutral,0.3462314939434724,0.4862948960302457,0.4044811320754717,2116,42
tfidf_logreg,joy,0.3048780487804878,0.4880694143167028,0.37531276063386154,461,42
tfidf_logreg,curiosity,0.2846153846153846,0.4692028985507246,0.3543091655266758,552,42
tfidf_logreg,surprise,0.3129411764705882,0.3993993993993994,0.35092348284960423,333,42
tfidf_logreg,anger,0.2865853658536585,0.4302059496567506,0.34400731930466605,437,42
tfidf_logreg,optimism,0.2723735408560311,0.46255506607929514,0.34285714285714286,454,42
tfidf_logreg,disgust,0.27680798004987534,0.38144329896907214,0.3208092485549133,291,42
tfidf_logreg,desire,0.24085365853658536,0.42934782608695654,0.30859375,184,42
tfidf_logreg,disapproval,0.22418136020151133,0.4224683544303797,0.29292375205704885,632,42
tfidf_logreg,caring,0.2071651090342679,0.434640522875817,0.2805907172995781,306,42
tfidf_logreg,confusion,0.2139917695473251,0.375,0.2724890829694323,416,42
tfidf_logreg,approval,0.21935483870967742,0.34034034034034033,0.266771282856022,999,42
tfidf_logreg,pride,0.2535211267605634,0.23684210526315788,0.24489795918367346,76,42
tfidf_logreg,excitement,0.1705685618729097,0.32903225806451614,0.22466960352422907,310,42
tfidf_logreg,annoyance,0.17697594501718214,0.3074626865671642,0.22464558342420937,670,42
tfidf_logreg,embarrassment,0.2076923076923077,0.21951219512195122,0.2134387351778656,123,42
tfidf_logreg,grief,0.21621621621621623,0.2,0.2077922077922078,40,42
tfidf_logreg,realization,0.1413673232908459,0.26406926406926406,0.18415094339622642,462,42
tfidf_logreg,nervousness,0.19148936170212766,0.17142857142857143,0.18090452261306533,105,42
tfidf_logreg,disappointment,0.13648293963254593,0.25120772946859904,0.17687074829931973,414,42
tfidf_logreg,relief,0.09183673469387756,0.11688311688311688,0.10285714285714286,77,42
tfidf_svm,gratitude,0.7654867256637168,0.7734724292101341,0.7694588584136397,671,42
tfidf_svm,love,0.5706618962432916,0.6659707724425887,0.6146435452793835,479,42
tfidf_svm,amusement,0.541871921182266,0.609981515711645,0.5739130434782609,541,42
tfidf_svm,admiration,0.484608619173263,0.5370370370370371,0.5094775774387424,1026,42
tfidf_svm,fear,0.4883720930232558,0.3559322033898305,0.4117647058823529,177,42
tfidf_svm,remorse,0.40336134453781514,0.366412213740458,0.384,131,42
tfidf_svm,sadness,0.39444444444444443,0.36787564766839376,0.3806970509383378,386,42
tfidf_svm,joy,0.35119047619047616,0.3839479392624729,0.36683937823834195,461,42
tfidf_svm,neutral,0.3347350714886459,0.3761814744801512,0.35425011125945705,2116,42
tfidf_svm,optimism,0.31669865642994244,0.3634361233480176,0.3384615384615385,454,42
tfidf_svm,anger,0.3225806451612903,0.32036613272311215,0.3214695752009185,437,42
tfidf_svm,curiosity,0.2967409948542024,0.3134057971014493,0.3048458149779736,552,42
tfidf_svm,surprise,0.3283582089552239,0.26426426426426425,0.2928452579034942,333,42
tfidf_svm,desire,0.3492063492063492,0.2391304347826087,0.2838709677419355,184,42
tfidf_svm,disgust,0.31277533039647576,0.24398625429553264,0.27413127413127414,291,42
tfidf_svm,caring,0.22969187675070027,0.2679738562091503,0.2473604826546003,306,42
tfidf_svm,disapproval,0.2272069464544139,0.24841772151898733,0.23733938019652306,632,42
tfidf_svm,confusion,0.23786407766990292,0.23557692307692307,0.23671497584541062,416,42
tfidf_svm,approval,0.21940163191296463,0.24224224224224225,0.2302568981921979,999,42
tfidf_svm,annoyance,0.18059299191374664,0.2,0.18980169971671387,670,42
tfidf_svm,excitement,0.16243654822335024,0.2064516129032258,0.18181818181818182,310,42
tfidf_svm,embarrassment,0.24074074074074073,0.10569105691056911,0.14689265536723164,123,42
tfidf_svm,pride,0.23529411764705882,0.10526315789473684,0.14545454545454545,76,42
tfidf_svm,disappointment,0.14018691588785046,0.14492753623188406,0.14251781472684086,414,42
tfidf_svm,realization,0.13777777777777778,0.1341991341991342,0.13596491228070176,462,42
tfidf_svm,nervousness,0.23529411764705882,0.0761904761904762,0.11510791366906475,105,42
tfidf_svm,grief,0.15789473684210525,0.075,0.1016949152542373,40,42
tfidf_svm,relief,0.1111111111111111,0.05194805194805195,0.07079646017699115,77,42
trained_distilbert,gratitude,0.8779264214046822,0.7824143070044709,0.8274231678486997,671,42
